ID;PESO;C1;C2;C3;C4;C4_1;C6;P1001_1;P1001_2;PCAV1220231;P1002;P1005_1;P1003;P1005_2;P1004;P1005_3;P1012;P1013;P1013_1;P1014;P1015;P1016;BS58000;BS58000B;BS58000C;P11017;PBARDIC24_1_1;PBARDIC24_1_2;PBARDIC24_1_3;PBARDIC24_1_4;PBARDIC24_1_5;PBARDIC24_1_6;PBARDIC24_1_7;PBARDIC24_1_8;PBARDIC24_1_V2_1;PBARDIC24_1_V2_2;PBARDIC24_1_V2_3;PBARDIC24_1_V2_4;PBARDIC24_1_V2_5;PBARDIC24_1_V2_6;PBARDIC24_2;PBARDIC24_3;PBARDIC24_4_1;PBARDIC24_4_2;PBARDIC24_4_3;PBARDIC24_4_4;PBARDIC24_4_5;PBARDIC24_4_6;PBARDIC24_4_7;PBARDIC24_4_8;PBARDIC24_4_9;PBARDIC24_5;PBARDIC24_6;PBARDIC24_7;PBARDIC24_8_1;PBARDIC24_8_2;PBARDIC24_8_3;PBARDIC24_8_4;PBARDIC24_8_5;PBARDIC24_8_6;PBARDIC24_8_98;PBARDIC24_9;PBARDIC24_10;PBARDIC24_11_1;PBARDIC24_11_2;PBARDIC24_11_3;PBARDIC24_11_4;P2003;BVPCE100000;P2002_CONOC_1;P2002_VAL_1;P2002_CONOC_2;P2002_VAL_2;P2002_CONOC_3;P2002_VAL_3;P2002_CONOC_4;P2002_VAL_4;P2002_CONOC_8;P2002_VAL_8;P1018;P200110;P2005;P2007;P2008A;P2105A;BCHVC66000_1;BCHVC66000_2;BCHVC66000_3;BCHVC66000_4;BCHVC66000_5;BCHVC66000_6;BCHVC66000_7;BCHVC66000_8;BCHVC66000_9;BCHVC66000_10;BCHVC66000_11;BCHVC66000_12;BCHVC66000_15;BCHVC66000_16;BCHVC66000_13;BCHVC66000_98;BCHVC66000_99;BCHVC67000;BCHVC68000;P221009;P2009;P2010;P2012;P2013;P2014;P2015
495;,873675494934504;14;3;1;77;7;1;7;8;9;800;10;500;10;300;10;2;2;3;2;2;2;1;3;3;2;10;0;5;0;0;10;6;8;8;8;9;4;5;7;1;2; ; ; ; ; ; ; ; ; ;2;8;4;0;1;0;0;0;0;0;2;2;2;1;1;1;8;9;1;9;1;1;2; ;2; ;2; ;1;5;1;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;4;4;6;2; 
1136;1,25577084459793;41;5;1;41;3;1;5;9;7;800;10;809;10;300;10;2;1;2;1;2;1;3;3;1;1;6;3;4;6;0;6;0;6;7;7;6;3;1;6;1;1;1;1;1;2;2;2;1;2;1;2;6;4;1;1;1;1;1;0;0;1;2;2;1;2;1;9;9;1;7;1;4;1;6;2; ;2; ;2;5;8;1;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;3;1;4;3;11;1;3
1222;1,18528996413301;29;1;1;54;4;1;8;8;8;300;10;9500; ;300;10;2;2;1;2;2;1;1;3;3;2;10;0;3;4;5;9;7;8;7;9;10;5;7;7;2;98; ; ; ; ; ; ; ; ; ;2;9;3;1;1;1;1;1;0;0;2;1;2;1;2;1;8;8;1;9;1;7;1;8;2; ;2; ;2;5;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;3;2;2;5;4;11;1;2
1293;,942433030990186;18;1;2;44;3;1;5;7;6;809;10;300;10;300;10;4;3;2;2;2;2;1;3;1;2;8;0;6;5;5;5;5;6;7;6;6;1;5;4;1;2; ; ; ; ; ; ; ; ; ;2;6;3;0;1;0;0;0;0;0;1;1;1;1;1;1;5;6;1;9;1;3;2; ;1;2;2; ;1;5;1;1;1;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;2;3;2;3;2;7;4; 
1491;1,18528996413301;29;5;2;44;3;1;6;7;8;801;2;802;2;300;2;2;2;3;5;3;2;3;3;3;4;8;5;5;7;5;7;8;5;5;8;8;0;6;7;2;2; ; ; ; ; ; ; ; ; ;4;7;3;0;0;0;1;0;0;0;3;1;1;1;1;1;5;5;1;4;1;1;2; ;2; ;2; ;4;5;10;8;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;4;2;9;1;4
1818;,873675494934504;14;5;2;22;1;1;0;8;2;800;10;201;3;300;3;4;2;2;2;1;1;3;3;1;2;10;0;2;2;4;9;5;5;6;8;8;4;6;5;2;2; ; ; ; ; ; ; ; ; ;4;7;4;0;1;0;1;1;0;0;2;4;1;1;1;2;9;8;1;6;1;5;1;4;1;6;2; ;2;5;3;3;1;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;3;1;3;2;3;6;1;3
2179;,873675494934504;14;5;1;49;4;1;5;5;7;8043;10;500;10;300;10;2;2;2;2;2;2;1;3;3;3;10;2;7;5;5;6;5;6;6;6;6;0;5;5;2;98; ; ; ; ; ; ; ; ; ;4;0;3;1;0;1;1;0;0;0;2;1;2;2;2;1;5;7;1;7;1;3;2; ;1;3;2; ;2;5;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;5;3;2;1;3;10;1;2
2728;1,18528996413301;29;5;2;44;3;1;6;10;7;300;10;9500; ;300;10;2;3;1;3;2;2;3;3;1;3;5;4;4;8;4;8;8;4;5;8;8;0;1;4;1;2; ; ; ; ; ; ; ; ; ;2;9;4;1;1;0;1;0;0;0;3;4;1;1;2;1;5;4;1;4;1;4;2; ;2; ;2; ;4;4;2;98;1;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;2;3;3;6;1;3
3074;,82152340959573;4;5;2;27;2;1;6;7;7;1205;98;300;98;300;98;2;3;1;4;2;2;3;3;3;4;5;0;5;0;0;10;0;0;0;10;10;0;0;5;1;2; ; ; ; ; ; ; ; ; ;4;10;4;0;0;0;1;0;0;0;1;4;1;1;1;1;5;7;1;1;2; ;2; ;2; ;2; ;4;5;8;7;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;1;2;2;2;11;1;4
3399;,873675494934504;14;1;1;39;3;1;10;10;8;810;10;500;3;300;10;1;2;2;2;1;1;3;3;1;1;10;1;1;6;4;8;7;8;9;8;8;2;7;9;2;1;1;98;98;98;1;1;2;1;2;4;0;3;1;0;1;0;0;0;0;2;1;2;2;99;1;5;4;1;10;1;3;2; ;1;2;2; ;1;5;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;4;1;5;1;6;4; 
